,O4,C3,C2,C10,C11,C12,C13,C15,C16,C17,C18,C20,C21,C22,C23,C24,C26,C27,C28,C29,C31,C32,C33,C41,C39,O40,charge
1286,4.387980812111668,4.172481817828318,2.9643826862326987,3.513078328716399,3.255612286397093,2.608766330722821,3.4562821043862746,3.640662871043956,4.9004741688836315,5.520068988647794,6.901525856944256,7.6196392401597315,9.016649586032056,9.815912949081934,11.219403238340558,12.19334188587514,13.550863492837761,14.672366120517356,15.984754620199078,17.183183062873653,18.396071033151724,19.658334641105736,20.913733388449597,21.154088642927498,22.522072512172493,22.824156416158154,0.0
1287,4.224084362861985,4.119623863897433,3.0331774422386264,3.720899245293378,3.6044327726181415,2.9610583460456783,3.8482704455523855,3.9357642784845854,5.1879573158976395,5.712374675382847,7.097155931105385,7.73827870906458,9.135197874380113,9.874559426977612,11.285143478320474,12.216117541101776,13.592203888552254,14.684885084960422,16.01638343573765,17.19370992391279,18.42976570815768,19.677847085943345,20.952336249652014,21.2234507478565,22.605122937592572,22.931855539307353,0.0
1288,4.191302486405837,4.144070278924476,3.1034785249302397,3.849099614496447,3.7667090539920784,3.1650639275961487,4.03824200721003,4.1271643847703965,5.3562217804854955,5.8678114530985725,7.23870299289033,7.8679146432434255,9.256489865180198,9.985785367417161,11.391947177798306,12.314915953222176,13.690063772329077,14.77702583061851,16.108871943219622,17.28204632321597,18.519674087611268,19.765470153195878,21.0418041339637,21.307789738683226,22.690935091092506,23.013181321816464,0.0
1289,3.9690617625623394,4.0555804846743255,3.163242075933269,4.051662811203483,4.109727714503388,3.5929450024355596,4.508021878335805,4.5933605649223646,5.810126490036142,6.2806530353601415,7.6406416544573,8.225914536447814,9.605277995164318,10.295185379026336,11.69919798900845,12.591099402785522,13.973994981056698,15.039009757389278,16.380660686291215,17.537524375494538,18.788706442430918,20.02389201593583,21.31189591899689,21.5895425747801,22.98075890947197,23.311344987260906,0.0
1290,3.79614122211359,3.957656009000566,3.1611096145871516,4.126980822512363,4.274756734064679,3.8114286529853176,4.765610693823445,4.860727296116119,6.0822856178607525,6.5386567068425405,7.897833887662086,8.463083330721593,9.839908331362775,10.509852206881186,11.913921326985099,12.789311714449909,14.17720949637807,15.230305502241569,16.577901757520426,17.725763409624943,18.984911644938364,20.214047308181353,21.5087337526437,21.79565349167163,23.19130337328614,23.52861195243729,0.0
1291,3.6359708607092984,3.8622310741299897,3.150610078577564,4.179466457246657,4.402142013141724,3.99467262413193,4.981305367827113,5.097753142823315,6.324632364111954,6.779775901793693,8.138005351820015,8.694438435181873,10.06905089885405,10.727949935425457,12.1312359878663,12.996544265993894,14.386834650722198,15.432324840680764,16.78313990509207,17.92515269891575,19.188926019920594,20.414167888333207,21.712811346710314,22.004041785381947,23.402195986199054,23.742218475236104,0.0
1292,4.271803571873879,4.184239638259742,3.094487206966899,3.790959452104006,3.6522035534879187,3.050991706975943,3.8978631095144824,4.0183983084777655,5.243462909110486,5.789051502433252,7.155900030179145,7.81447007422125,9.201819897521487,9.954727763205819,11.357350191400991,12.297500683076102,13.664693418524212,14.763253475104538,16.087041107796843,17.26875954501465,18.49672491531563,19.74838184775378,21.016861519584353,21.26852662949972,22.64614325921261,22.956942062306428,0.0
1293,4.043225813787859,4.108921947626017,3.182547024567906,4.044951884632203,4.063138964866092,3.55528340886833,4.442447903894456,4.5499804034604,5.755142370125215,6.248276691647175,7.6003309280385185,8.20632062445168,9.58205213376345,10.289180445701339,11.688828087481367,12.593355134788592,13.969037973919484,15.04258295440693,16.37726729864322,17.540475041146603,18.783606886676264,20.023349145012517,21.30499316921288,21.5680961336983,22.954929825144323,23.273816168093262,0.0
1294,3.8473350805273783,4.0067878054315536,3.1943696622685738,4.152824254837316,4.276733479723962,3.8380498132680008,4.767833799841407,4.889513584332775,6.096715060575102,6.574182324148674,7.922657531699737,8.506071568576603,9.877265169732723,10.561784338452352,11.96032383986362,12.846020533141022,14.226478264291792,15.286371151341726,16.627134049314936,17.78004701407465,19.031644722430023,20.264601483124864,21.55348442171384,21.824442915677082,23.216090600346572,23.54035878914235,0.0
1295,4.107041040943009,4.1457179442256455,3.1854307554032073,4.017285342226431,3.998094128486432,3.504868207227591,4.36837246602981,4.50511459213129,5.70139133404014,6.221850579912675,7.5669867450071395,8.196710406807501,9.569409196795396,10.295707506456445,11.691137493421309,12.609542102461543,13.977740772073028,15.060610793130348,16.387976772345215,17.558078586407717,18.792674231284977,20.037260653812485,21.312061735068365,21.56099800977986,22.94300080118873,23.250419839254093,0.0
1296,3.960871439497623,4.0752634492015885,3.204200559592916,4.115271155036341,4.180469230640068,3.740270650664434,4.636020133559485,4.779211804749788,5.975014516416102,6.479204508839327,7.8206084656181485,8.429963454456951,9.798556989092077,10.505397245263325,11.899830206253672,12.802375164527835,14.17454729064115,15.24603035413545,16.578443312741584,17.740006622503895,18.98161778022536,20.220622452005152,21.501448944481414,21.756421191562648,23.142486245745925,23.45404253999689,0.0
1297,3.8739834768263037,4.0254028248446625,3.2043338728484843,4.153497726422229,4.263346710014687,3.8855472405119635,4.7950135431269025,4.974531940288567,6.167384746753879,6.685967533597782,8.02079529994541,8.636464143435715,10.000406664872957,10.709343168489548,12.09996517653694,13.002391426100804,14.371565086431485,15.442316958447861,16.772597446006515,17.933475191285165,19.173388544459634,20.412174458442816,21.691880351306857,21.940271365682115,23.32527705554121,23.630774524417653,0.0
1298,2.1174738660654797,1.7,2.3456981911069485,3.0708709198779474,4.282770736349966,5.2083220279023275,6.5302625372084835,7.492791074818028,8.863475957926653,9.833343585906315,11.225626057072697,12.134914405693781,13.543164138437016,14.444330036355938,15.845744112291749,16.872287023301116,18.215472496062688,19.367203995571685,20.66456649458571,21.883856286334577,23.076204148149422,24.3525265974821,25.5871456168471,25.801604099094515,27.143848933747968,27.40819323904808,0.0
1299,2.116678634246964,1.7000000000000002,2.2651851171032114,3.002453200327576,4.2272187370738425,4.679599140188271,6.103964021812161,6.72859782650591,8.148493817480976,8.877839692794893,10.314057903322444,11.025782207950266,12.446530820442582,13.190401952043482,14.613370500809507,15.523819585288097,16.91599233376728,17.98594485704502,19.334135779695213,20.490326494958232,21.747141421204457,22.974352793057825,24.260050654978883,24.633690740290707,26.013004433814597,26.411475066283813,0.0
